index,dE_c,dE_o,dE_n,dE_h,d_band_center,d_band_filling,d_band_width,d_band_upperedge
Pd_zero_surface_Cu,-6.824093159999994,-4.494118419999982,-4.511435779999997,-2.816454149999999,-1.5623480211706917,0.904284837086777,2.7115906739351274,-0.20350000000000001
Pd_zero_surface_Ru,-6.481686230000013,-4.461063019999987,-4.099589009999957,-2.5814970000000135,-2.005061227672913,0.8895551766445154,2.8804108176771073,0.6947000000000001
Pd_zero_surface_Rh,-6.804846950000017,-4.630056080000006,-4.5595335300000075,-2.70682119,-1.7481619836869784,0.8813148832440283,2.863307345056827,0.3812000000000002
Pd_zero_surface_Pd,-7.153651419999993,-4.749501689999992,-4.896385249999978,-2.8485739399999948,-1.561036868946018,0.8933380607756768,2.6142617849096377,0.17300000000000004
Pd_zero_surface_Ag,-6.965652379999999,-4.609641170000007,-4.716539789999982,-2.8925485199999916,-1.418989619912213,0.9016009664280167,2.4873371047697823,-0.2901999999999998
Pd_zero_surface_Os,-6.3984649699999965,-4.517345089999996,-4.012135140000024,-2.608631199999991,-2.109486800132749,0.8814402891006731,3.1702302344031845,0.08450000000000002
Pd_zero_surface_Ir,-6.67300987000002,-4.650932530000009,-4.436892120000036,-2.703442309999986,-1.9929829269498376,0.9019241672411493,2.8422518846910445,0.4556
Pd_zero_surface_Pt,-7.079251309999994,-4.759566220000014,-4.8492066,-2.8209757099999995,-1.6594690065582605,0.8901776967304792,2.8205212927160295,0.23119999999999985
Pd_zero_surface_Au,-7.084381259999991,-4.669949450000022,-4.807399269999988,-2.902037900000011,-1.4485472708685065,0.8965671159479858,2.630680637880045,-0.21819999999999995
Pd_plus_1_surface_Fe,-5.967898679999995,-3.990719560000006,-3.566179050000014,-2.480257389999992,-1.9252704102276834,0.8953616209472521,2.9124423241161557,-0.7252
Pd_plus_1_surface_Co,-6.295738279999999,-4.179451919999995,-3.875646889999982,-2.561618940000017,-1.9023769178116727,0.8985806243407671,2.8312329935783276,-0.7955
Pd_plus_1_surface_Ni,-6.679400680000019,-3.750620019999989,-4.292347070000003,-2.6818807699999927,-1.7414584100228439,0.8975806198060895,2.7314778053288595,0.2631999999999999
Pd_plus_1_surface_Cu,-6.942306289999981,-4.559209470000017,-4.586997920000013,-2.8452921399999984,-1.5149710252150956,0.8999969029450907,2.6087556216095256,-0.13840000000000008
Pd_plus_1_surface_Ru,-6.527799840000033,-4.493889379999988,-4.127884369999973,-2.591166509999994,-1.9661805141464872,0.879748578356324,2.753742239402527,0.7849999999999999
Pd_plus_1_surface_Rh,-6.87478627000002,-4.675568580000007,-4.609707689999991,-2.721882289999997,-1.705547176302751,0.862053399867816,2.7679974665836014,0.4625999999999999
Pd_plus_1_surface_Pd,-7.262528260000015,-4.809214589999986,-4.973533210000025,-2.868498739999979,-1.520705250276372,0.8940462641453232,2.505228387276824,0.1744000000000001
Pd_plus_1_surface_Ag,-7.098540530000013,-4.690288359999986,-4.804129350000008,-2.9257042700000118,-1.3723208458803686,0.9007515260997555,2.3745186449022473,-0.2990999999999999
Pd_plus_1_surface_Os,-6.424466690000007,-4.538516579999968,-4.023185960000004,-2.611385849999977,-2.0899834136585143,0.8880226574073984,3.0635171707898996,-0.05919999999999992
Pd_plus_1_surface_Ir,-6.717245080000002,-4.688127130000002,-4.47169985999997,-2.710328400000009,-1.967366521451546,0.9007528289954175,2.735790671043707,0.4332999999999998
